Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,,,,,,,
2019-05-21,39.55199814,41.47999954,39.20800018,41.01599884,90019500,0,0,,,,,,,
2019-05-22,39.81999969,40.7879982,38.35599899,38.54600143,93426000,0,0,,,,,,,
2019-05-23,38.86800003,39.89400101,37.24399948,39.09799957,132735500,0,0,,,,,,,
2019-05-24,39.9659996,39.99599838,37.75,38.12599945,70683000,0,0,,,,,,,
2019-05-28,38.24000168,39,37.56999969,37.74000168,51564500,0,0,,,,,,,
2019-05-29,37.41999817,38.47800064,37.00799942,37.97200012,59843000,0,0,,,,,,,
2019-05-30,37.75,38.45199966,37.40399933,37.64400101,39632500,0,0,,,,,,,
2019-05-31,37.02000046,37.98400116,36.81999969,37.0320015,52033500,0,0,,,,,,,
2019-06-03,37.10200119,37.33599854,35.39799881,35.79399872,65322000,0,0,,,,,,,
2019-06-04,36.22000122,38.79600143,35.92200089,38.72000122,69037500,0,0,,,,,,,
2019-06-05,39.73600006,40.25600052,38.36999893,39.31800079,67554000,0,0,,,,,,,
2019-06-06,40.88800049,42.20000076,40.36000061,41.18999863,101211000,0,0,,,,,,,
2019-06-07,41,42.16799927,40.70000076,40.90000153,80017500,0,0,,,,,,,
2019-06-10,42.04999924,43.38800049,41.80199814,42.57600021,52925000,0,0,,,,,,,
2019-06-11,43.82799911,44.18000031,42.70000076,43.41999817,58267500,0,0,,,,,,,
2019-06-12,44.59000015,44.67599869,41.79999924,41.85200119,75987500,0,0,,,,,,,
2019-06-13,42.07600021,42.97999954,41.5019989,42.7820015,40841500,0,0,,,,,,,
2019-06-14,42.25,43.33000183,42.08000183,42.98400116,37167000,0,0,,,,,,,
2019-06-17,43.09600067,45.40000153,42.85400009,45.00600052,61584000,0,0,,,,,,,
2019-06-18,45.74399948,46.94800186,44.51200104,44.94800186,63579000,0,0,,,,,,,
2019-06-19,45.02199936,45.55400085,44.2120018,45.2859993,32875500,0,0,,,,,,,
2019-06-20,44.59999847,45.38000107,43.27000046,43.92399979,59317500,0,0,,,,,,,
2019-06-21,43.24399948,44.43600082,43.09999847,44.37200165,41010500,0,0,,,,,,,
2019-06-24,44.64799881,45.17200089,44.20399857,44.72800064,28754000,0,0,,,,,,,
2019-06-25,44.87799835,45.06800079,43.89799881,43.95199966,30910500,0,0,,,,,,,
2019-06-26,44.06200027,45.44599915,43.61999893,43.85400009,42536000,0,0,,,,,,,
2019-06-27,43.88999939,44.58000183,43.47000122,44.56800079,31698500,0,0,,,,,,,
2019-06-28,44.19800186,45.0340004,44.15999985,44.69200134,34257000,0,0,,,,,,,
2019-07-01,46.04199982,46.61999893,45.25600052,45.43399811,41067000,0,0,,,,,,,
2019-07-02,45.77799988,45.83000183,44.44400024,44.90999985,46295000,0,0,,,,,,,
2019-07-03,47.87799835,48.31399918,46.90200043,46.97999954,71005500,0,0,,,,,,,
2019-07-05,46.91400146,47.09000015,46.15999985,46.61999893,35328500,0,0,,,,,,,
2019-07-08,46.2480011,46.45000076,45.73199844,46.06800079,29402500,0,0,,,,,,,
2019-07-09,45.79399872,46.20000076,45.45600128,46.01200104,30954000,0,0,,,,,,,
2019-07-10,46.83000183,47.7879982,46.62799835,47.7840004,45728500,0,0,,,,,,,
2019-07-11,47.62799835,48.29999924,47.15999985,47.72000122,37572000,0,0,,,,,,,
2019-07-12,47.95000076,49.07600021,47.94200134,49.01599884,46002500,0,0,,,,,,,
2019-07-15,49.59999847,50.88399887,48.97200012,50.70000076,55000500,0,0,,,,,,,
2019-07-16,49.86000061,50.70600128,49.58599854,50.47600174,40745000,0,0,,,,,,,
2019-07-17,51.13399887,51.66199875,50.66999817,50.97200012,48823500,0,0,,,,,,,
2019-07-18,51.00999832,51.15000153,50.37799835,50.70800018,23793000,0,0,,,,,,,
2019-07-19,51.13800049,51.99200058,50.92399979,51.63600159,35242000,0,0,,,,,,,
2019-07-22,51.75,52.43000031,50.83800125,51.13600159,34212000,0,0,,,,,,,
